ds	vid	docid	20191224	20191225	20191226	20191227
20191224	1688849961444266		1688849961444266	\N	\N	\N
20191223	1688849962363148		\N	\N	\N	\N
20191223	1688849962408463		1688849962408463	\N	\N	\N
20191224	1688849962418231		1688849962418231	\N	\N	\N
20191224	1688849962418231		1688849962418231	\N	\N	\N
20191223	1688849963548814		\N	\N	\N	\N
20191223	1688849963889847		\N	\N	\N	\N
20191223	1688849964447453		1688849964447453	1688849964447453	\N	1688849964447453
20191223	1688849964458286		\N	1688849964458286	\N	1688849964458286
20191224	1688849964463828		1688849964463828	\N	\N	\N
20191223	1688849965360479		1688849965360479	1688849965360479	1688849965360479	1688849965360479
20191223	1688849965360479		1688849965360479	1688849965360479	1688849965360479	1688849965360479
20191224	1688849965365273		1688849965365273	\N	\N	1688849965365273
20191224	1688849965365273		1688849965365273	\N	\N	1688849965365273
20191224	1688849965371131		1688849965371131	\N	1688849965371131	\N
20191223	1688849967173853		\N	\N	\N	\N
20191224	1688849967174318		1688849967174318	\N	\N	\N
20191224	1688849971875429		1688849971875429	\N	\N	\N
20191224	1688849971875429		1688849971875429	\N	\N	\N
20191223	1688849972273742		\N	\N	1688849972273742	\N
20191223	1688849972273742		\N	\N	1688849972273742	\N
20191224	1688849972299963		1688849972299963	\N	\N	1688849972299963
20191223	1688849972326283		1688849972326283	\N	1688849972326283	1688849972326283
20191224	1688849972380002		1688849972380002	1688849972380002	1688849972380002	1688849972380002
20191224	1688849975371323		1688849975371323	\N	1688849975371323	\N
20191224	1688849975371323		1688849975371323	\N	1688849975371323	\N
20191224	1688849975371323		1688849975371323	\N	1688849975371323	\N
20191224	1688849975371323		1688849975371323	\N	1688849975371323	\N
20191224	1688849977345258		1688849977345258	\N	\N	\N
20191223	1688849978396595		\N	\N	\N	\N
20191223	1688849978397513		\N	\N	\N	\N
20191224	1688849980521912		1688849980521912	\N	\N	\N
20191223	1688849981557286		\N	\N	\N	\N
20191223	1688849981589174		\N	\N	\N	\N
20191223	1688849983443026		1688849983443026	1688849983443026	\N	\N
20191223	1688849984323864		\N	\N	\N	1688849984323864
20191224	1688849984323885		1688849984323885	\N	\N	\N
20191223	1688849985341594		\N	1688849985341594	\N	\N
20191223	1688849990291571		\N	\N	\N	\N
20191224	1688849994352866		1688849994352866	1688849994352866	\N	\N
20191224	1688849994352866		1688849994352866	1688849994352866	\N	\N
20191223	1688849994360971		\N	1688849994360971	\N	\N
20191223	1688849994360971		\N	1688849994360971	\N	\N
20191223	1688849995458007		\N	\N	\N	\N
20191223	1688849996333362		\N	\N	\N	\N
20191224	1688849996354184		1688849996354184	\N	\N	\N
20191224	1688849996354184		1688849996354184	\N	\N	\N
20191224	1688849999515448		1688849999515448	\N	\N	\N
20191224	1688849999515448		1688849999515448	\N	\N	\N
20191224	1688850000550662		1688850000550662	\N	\N	\N
20191223	1688850000601439		\N	1688850000601439	1688850000601439	1688850000601439
20191224	1688850001546611		1688850001546611	\N	\N	\N
20191224	1688850001547419		1688850001547419	\N	\N	\N
20191224	1688850001550592		1688850001550592	1688850001550592	\N	\N
20191224	1688850001550592		1688850001550592	1688850001550592	\N	\N
20191224	1688850001550592		1688850001550592	1688850001550592	\N	\N
20191224	1688850001550592		1688850001550592	1688850001550592	\N	\N
20191224	1688850001557858		1688850001557858	\N	\N	\N
20191224	1688850002463198		1688850002463198	\N	\N	\N
20191223	1688850003335974		\N	\N	\N	\N
20191224	1688850007379853		1688850007379853	\N	\N	\N
20191224	1688850009412847		1688850009412847	\N	\N	\N
20191224	1688850009412847		1688850009412847	\N	\N	\N
20191224	1688850012361381		1688850012361381	\N	\N	\N
20191224	1688850012361381		1688850012361381	\N	\N	\N
20191224	1688850013570950		1688850013570950	\N	\N	\N
20191224	1688850016430121		1688850016430121	\N	\N	\N
20191224	1688850016430468		1688850016430468	\N	\N	\N
20191224	1688850016430468		1688850016430468	\N	\N	\N
20191224	1688850017493640		1688850017493640	\N	\N	\N
20191224	1688850017493640		1688850017493640	\N	\N	\N
