ds	vid	docid	20191224	20191225	20191226	20191227
20191223	1688849961437412	e2_AOQAyAYHAAYvM4CqMBCQW07S3wXMb	\N	\N	\N	\N
20191223	1688849961437412	w2_AOQAyAYHAAYw6qOJAdJTgqP7oGDAD	\N	\N	\N	\N
20191223	1688849961437412	e2_AOQAyAYHAAYT0XunziYTBODIg1VvT	\N	\N	\N	\N
20191223	1688849962363148	w2_AAwA6QYVAAYbpHIXc01SbmzfYEutb	\N	\N	\N	\N
20191224	1688849962363696	w2_ADAA6wYVAAYWhbERTP6TQK3SWrHdP	1688849962363696	\N	1688849962363696	1688849962363696
20191224	1688849962363696	w2_ADAA6wYVAAYWhbERTP6TQK3SWrHdP	1688849962363696	\N	1688849962363696	1688849962363696
20191224	1688849962367920	e2_ALAA_wYVAAYB0QLvhIvQTOQ1ov3d5	1688849962367920	1688849962367920	1688849962367920	1688849962367920
20191224	1688849962367920	e2_ALAA_wYVAAYB0QLvhIvQTOQ1ov3d5	1688849962367920	1688849962367920	1688849962367920	1688849962367920
20191224	1688849962367920	w2_ALAA_wYVAAYKzH7adbeQaStooFZJ9	1688849962367920	1688849962367920	1688849962367920	1688849962367920
20191224	1688849962367920	w2_ALAA_wYVAAYKzH7adbeQaStooFZJ9	1688849962367920	1688849962367920	1688849962367920	1688849962367920
20191224	1688849962369141	w2_AHUAAAYWAAYzakYZMjzT8Wj2cOJka	1688849962369141	\N	\N	\N
20191223	1688849962408463	w2_AA8AmgYWAAYdJgokFMaTtWRHSXWkp	1688849962408463	\N	\N	\N
20191224	1688849963775813	w2_AEUAdwYrAAYnJPCxc93SCeKJR1m0x	1688849963775813	\N	\N	\N
20191224	1688849963775813	w2_AEUAdwYrAAYtvfFYClrT1ezYM1Pmu	1688849963775813	\N	\N	\N
20191223	1688849963889520	e2_AHAAMwYtAAYunBkfEEgQJW2FDaw8y	\N	\N	\N	\N
20191224	1688849964422414	e2_AA4AVQY1AAYxYcYBh0QSnueki8W35	1688849964422414	1688849964422414	1688849964422414	1688849964422414
