ds	vid	docid	20191224	20191225	20191226	20191227
20191223	1688849961437412	w2_AOQAyAYHAAYw6qOJAdJTgqP7oGDAD	\N	\N	\N	\N
20191223	1688849961437412	e2_AOQAyAYHAAYT0XunziYTBODIg1VvT	\N	\N	\N	\N
20191223	1688849962363148	w2_AAwA6QYVAAYbpHIXc01SbmzfYEutb	\N	\N	\N	\N
20191223	1688849963535387	w2_ABsAzAYnAAY0ObTTETGQt6NZck4QH	\N	\N	\N	\N
20191223	1688849963889520	e2_AHAAMwYtAAYunBkfEEgQJW2FDaw8y	\N	\N	\N	\N
20191223	1688849964445727	e2_ADEAsAY1AAYfEZDyj5mRzy0MC21Oh	1688849964445727	\N	\N	\N
20191223	1688849964445744	e2_ADEAsAY1AAYfEZDyj5mRzy0MC21Oh	1688849964445744	\N	\N	\N
20191223	1688849964445748	e2_ADEAsAY1AAYfEZDyj5mRzy0MC21Oh	\N	\N	1688849964445748	\N
20191223	1688849964447453	e2_AN0AtgY1AAYHOyczFOlQI07mIfMf2	1688849964447453	1688849964447453	\N	1688849964447453
20191224	1688849964447507	e2_ABMAtwY1AAYAzRKk8apTNik61u2Xf	1688849964447507	\N	\N	\N
20191223	1688849964458286	e2_AC4A4QY1AAYcrJWl1d7RvGOjovyQR	\N	1688849964458286	\N	1688849964458286
20191223	1688849964511611	e2_AC4A4QY1AAYcrJWl1d7RvGOjovyQR	1688849964511611	\N	\N	\N
20191224	1688849964542461	w2_AP0AKQY3AAYegf1oBLBRMWhhqkqeG	1688849964542461	1688849964542461	\N	\N
20191223	1688849965343869	e2_AH0AZAZDAAYZq0bUHMkQqSoyXGOlN	\N	\N	\N	\N
20191223	1688849965360479	e2_AF8ApQZDAAYGLbxGBSqSZGYpTbfqA	1688849965360479	1688849965360479	1688849965360479	1688849965360479
20191223	1688849965360479	e2_AF8ApQZDAAYGLbxGBSqSZGYpTbfqA	1688849965360479	1688849965360479	1688849965360479	1688849965360479
20191223	1688849965360479	e2_AF8ApQZDAAYGLbxGBSqSZGYpTbfqA	1688849965360479	1688849965360479	1688849965360479	1688849965360479
20191223	1688849965360479	e2_AF8ApQZDAAYGLbxGBSqSZGYpTbfqA	1688849965360479	1688849965360479	1688849965360479	1688849965360479
20191224	1688849965363940	e2_ALUAqAZDAAY1xwD0NXUTwC99Na9Kw	1688849965363940	\N	\N	\N
20191224	1688849965363940	e2_ALUAqAZDAAY1xwD0NXUTwC99Na9Kw	1688849965363940	\N	\N	\N
20191224	1688849965363989	e2_ALUAqAZDAAY1xwD0NXUTwC99Na9Kw	1688849965363989	\N	\N	\N
20191224	1688849965363989	e2_ALUAqAZDAAY1xwD0NXUTwC99Na9Kw	1688849965363989	\N	\N	\N
20191224	1688849965364002	e2_ALUAqAZDAAY1xwD0NXUTwC99Na9Kw	1688849965364002	\N	\N	\N
20191224	1688849965364002	e2_ALUAqAZDAAY1xwD0NXUTwC99Na9Kw	1688849965364002	\N	\N	\N
20191224	1688849965364100	e2_ALUAqAZDAAY1xwD0NXUTwC99Na9Kw	1688849965364100	1688849965364100	\N	\N
20191224	1688849965364156	e2_ALUAqAZDAAY1xwD0NXUTwC99Na9Kw	1688849965364156	\N	\N	\N
20191224	1688849965364156	e2_ALUAqAZDAAY1xwD0NXUTwC99Na9Kw	1688849965364156	\N	\N	\N
20191224	1688849965364391	e2_ALUAqAZDAAY1xwD0NXUTwC99Na9Kw	1688849965364391	1688849965364391	\N	\N
20191224	1688849965364423	e2_ALUAqAZDAAY1xwD0NXUTwC99Na9Kw	1688849965364423	\N	\N	\N
20191224	1688849965364423	e2_ALUAqAZDAAY1xwD0NXUTwC99Na9Kw	1688849965364423	\N	\N	\N
20191224	1688849965364582	e2_ALUAqAZDAAY1xwD0NXUTwC99Na9Kw	1688849965364582	\N	\N	\N
20191224	1688849965364582	e2_ALUAqAZDAAY1xwD0NXUTwC99Na9Kw	1688849965364582	\N	\N	\N
20191224	1688849965364793	e2_ALUAqAZDAAY1xwD0NXUTwC99Na9Kw	1688849965364793	\N	\N	\N
20191224	1688849965364798	e2_ALUAqAZDAAY1xwD0NXUTwC99Na9Kw	1688849965364798	\N	\N	\N
20191224	1688849965364798	e2_ALUAqAZDAAY1xwD0NXUTwC99Na9Kw	1688849965364798	\N	\N	\N
20191224	1688849965364798	e2_ALUAqAZDAAY1xwD0NXUTwC99Na9Kw	1688849965364798	\N	\N	\N
20191224	1688849965364798	e2_ALUAqAZDAAY1xwD0NXUTwC99Na9Kw	1688849965364798	\N	\N	\N
20191224	1688849965364983	e2_ALUAqAZDAAY1xwD0NXUTwC99Na9Kw	1688849965364983	1688849965364983	\N	\N
